identifier_type,identifier,pipelines,figure_profiles,metadata_rows,mouse,eid,pid,probe_name
eid,08ceef95-9440-43f9-a075-b49c04fddfc6,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_100,08ceef95-9440-43f9-a075-b49c04fddfc6,,
eid,08e1b2b9-ecc2-424c-871f-78fcca7edb79,opto_behavior,figure3_vls_d2_glmhmm,1,SWC_NM_065,08e1b2b9-ecc2-424c-871f-78fcca7edb79,,
eid,08eec5ef-1874-490e-b0c3-4cc887a69250,opto_behavior,figure3_stn_glmhmm,1,SWC_NM_024,08eec5ef-1874-490e-b0c3-4cc887a69250,,
eid,091f5721-72f4-4f73-a4ed-037d86040778,opto_behavior,figure3_stn_glmhmm,2,SWC_NM_026,091f5721-72f4-4f73-a4ed-037d86040778,,
eid,093ab546-12bb-4c63-8d7c-f539cb882615,opto_behavior,,1,SWC_NM_063,093ab546-12bb-4c63-8d7c-f539cb882615,,
eid,0962661c-301c-49bd-8143-3ecf226c0804,zapit,figure4_zapit_glmhmm,1,SWC_NM_082,0962661c-301c-49bd-8143-3ecf226c0804,,
eid,0974d094-1011-4ab0-a093-f96bdf257b67,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_053,0974d094-1011-4ab0-a093-f96bdf257b67,,
eid,0985a1e9-ed30-4197-bc76-88f4c26a9833,opto_behavior,figure3_vls_d1_glmhmm,1,SWC_NM_099,0985a1e9-ed30-4197-bc76-88f4c26a9833,,
eid,09966b91-2f5b-4be2-8b8b-ddfc59e8d507,opto_behavior,,1,SWC_NM_108,09966b91-2f5b-4be2-8b8b-ddfc59e8d507,,
eid,0998f766-ee7c-4795-ae75-07d712ae66b3,zapit,figure4_zapit_glmhmm,1,SWC_NM_085,0998f766-ee7c-4795-ae75-07d712ae66b3,,
eid,09fc5d05-d1a9-41f0-8399-d367a16a0a48,opto_behavior,figure3_vls_d2_glmhmm,1,SWC_NM_065,09fc5d05-d1a9-41f0-8399-d367a16a0a48,,
eid,0a161756-e61a-4211-9f39-59987caac9b2,opto_behavior,,1,SWC_NM_036,0a161756-e61a-4211-9f39-59987caac9b2,,
eid,0a293882-b29f-44f0-9799-8b3a78e282ab,zapit,figure4_zapit_glmhmm,1,SWC_NM_071,0a293882-b29f-44f0-9799-8b3a78e282ab,,
eid,0a2ff699-db3f-4b39-a24e-394153403c15,zapit,figure4_zapit_glmhmm,1,SWC_NM_057,0a2ff699-db3f-4b39-a24e-394153403c15,,
